CODE,SHORT DESCRIPTION (VALID ICD-10 FY2026),LONG DESCRIPTION (VALID ICD-10 FY2026),NF EXCL
A0103,Typhoid pneumonia,Typhoid pneumonia,
A0222,Salmonella pneumonia,Salmonella pneumonia,
A3681,Diphtheritic cardiomyopathy,Diphtheritic cardiomyopathy,
A3700,Whooping cough due to Bordetella pertussis without pneumonia,Whooping cough due to Bordetella pertussis without pneumonia,
A3701,Whooping cough due to Bordetella pertussis with pneumonia,Whooping cough due to Bordetella pertussis with pneumonia,
A3710,Whooping cough due to Bordetella parapertussis w/o pneumonia,Whooping cough due to Bordetella parapertussis without pneumonia,
A3711,Whooping cough due to Bordetella parapertussis w pneumonia,Whooping cough due to Bordetella parapertussis with pneumonia,
A3780,Whooping cough due to other Bordetella species w/o pneumonia,Whooping cough due to other Bordetella species without pneumonia,
A3781,Whooping cough due to oth Bordetella species with pneumonia,Whooping cough due to other Bordetella species with pneumonia,
A3790,"Whooping cough, unspecified species without pneumonia","Whooping cough, unspecified species without pneumonia",
A3791,"Whooping cough, unspecified species with pneumonia","Whooping cough, unspecified species with pneumonia",
A403,Sepsis due to Streptococcus pneumoniae,Sepsis due to Streptococcus pneumoniae,
A5004,Early congenital syphilitic pneumonia,Early congenital syphilitic pneumonia,
A5484,Gonococcal pneumonia,Gonococcal pneumonia,
B012,Varicella pneumonia,Varicella pneumonia,
B052,Measles complicated by pneumonia,Measles complicated by pneumonia,
B0681,Rubella pneumonia,Rubella pneumonia,
B3324,Viral cardiomyopathy,Viral cardiomyopathy,
B7781,Ascariasis pneumonia,Ascariasis pneumonia,
B953,Streptococcus pneumoniae causing diseases classd elswhr,Streptococcus pneumoniae as the cause of diseases classified elsewhere,
B960,Mycoplasma pneumoniae as the cause of diseases classd elswhr,Mycoplasma pneumoniae [M. pneumoniae] as the cause of diseases classified elsewhere,
B961,Klebsiella pneumoniae as the cause of diseases classd elswhr,Klebsiella pneumoniae [K. pneumoniae] as the cause of diseases classified elsewhere,
C000,Malignant neoplasm of external upper lip,Malignant neoplasm of external upper lip,
C001,Malignant neoplasm of external lower lip,Malignant neoplasm of external lower lip,
C002,"Malignant neoplasm of external lip, unspecified","Malignant neoplasm of external lip, unspecified",
C003,"Malignant neoplasm of upper lip, inner aspect","Malignant neoplasm of upper lip, inner aspect",
C004,"Malignant neoplasm of lower lip, inner aspect","Malignant neoplasm of lower lip, inner aspect",
C005,"Malignant neoplasm of lip, unspecified, inner aspect","Malignant neoplasm of lip, unspecified, inner aspect",
C006,"Malignant neoplasm of commissure of lip, unspecified","Malignant neoplasm of commissure of lip, unspecified",
C008,Malignant neoplasm of overlapping sites of lip,Malignant neoplasm of overlapping sites of lip,
C009,"Malignant neoplasm of lip, unspecified","Malignant neoplasm of lip, unspecified",
C01,Malignant neoplasm of base of tongue,Malignant neoplasm of base of tongue,
C020,Malignant neoplasm of dorsal surface of tongue,Malignant neoplasm of dorsal surface of tongue,
C021,Malignant neoplasm of border of tongue,Malignant neoplasm of border of tongue,
C022,Malignant neoplasm of ventral surface of tongue,Malignant neoplasm of ventral surface of tongue,
C023,"Malig neoplasm of anterior two-thirds of tongue, part unsp","Malignant neoplasm of anterior two-thirds of tongue, part unspecified",
C024,Malignant neoplasm of lingual tonsil,Malignant neoplasm of lingual tonsil,
C028,Malignant neoplasm of overlapping sites of tongue,Malignant neoplasm of overlapping sites of tongue,
C029,"Malignant neoplasm of tongue, unspecified","Malignant neoplasm of tongue, unspecified",
C030,Malignant neoplasm of upper gum,Malignant neoplasm of upper gum,
C031,Malignant neoplasm of lower gum,Malignant neoplasm of lower gum,
C039,"Malignant neoplasm of gum, unspecified","Malignant neoplasm of gum, unspecified",
C040,Malignant neoplasm of anterior floor of mouth,Malignant neoplasm of anterior floor of mouth,
C041,Malignant neoplasm of lateral floor of mouth,Malignant neoplasm of lateral floor of mouth,
C048,Malignant neoplasm of overlapping sites of floor of mouth,Malignant neoplasm of overlapping sites of floor of mouth,
C049,"Malignant neoplasm of floor of mouth, unspecified","Malignant neoplasm of floor of mouth, unspecified",
C050,Malignant neoplasm of hard palate,Malignant neoplasm of hard palate,
C051,Malignant neoplasm of soft palate,Malignant neoplasm of soft palate,
C052,Malignant neoplasm of uvula,Malignant neoplasm of uvula,
C058,Malignant neoplasm of overlapping sites of palate,Malignant neoplasm of overlapping sites of palate,
C059,"Malignant neoplasm of palate, unspecified","Malignant neoplasm of palate, unspecified",
